Study	Sample	Normal_or_Tumor	Coverage	Notes
Li et al.	PMID32398863;BDESCC-01-242	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-243	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-244	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-245	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-249	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-251	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-252	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-255	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-256	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-257	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-258	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-262	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-267	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-270	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-271	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-272	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-274	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-275	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-277	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-278	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-280	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-281	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-282	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-283	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-287	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-289	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-292	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-295	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-299	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-301	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-302	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-304	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-305	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-309	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-310	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-311	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-314	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-315	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-316	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-319	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-320	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-322	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-323	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-324	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-325	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-327	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-329	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-331	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-335	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-338	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-340	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-341	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-343	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-344	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-345	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-346	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-350	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-351	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-354	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-356	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-359	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-364	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-366	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-368	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-371	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-372	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-376	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-380	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-381	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-382	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-384	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-386	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-387	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-391	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-392	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-397	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-399	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-401	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-403	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-404	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-408	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-409	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-410	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-412	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-414	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-415	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-417	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-418	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-421	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-422	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-423	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-424	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-426	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-429	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-430	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-432	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-435	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-436	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-437	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-438	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-440	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-442	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-443	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-445	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-446	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-447	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-450	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-451	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-452	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-453	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-454	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-457	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-458	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-459	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-461	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-464	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-467	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-471	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-474	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-475	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-476	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-478	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-482	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-483	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-485	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-486	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-487	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-489	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-490	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-491	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-494	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-495	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-497	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-501	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-503	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-505	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-506	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-507	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-510	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-511	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-512	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-513	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-516	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-517	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-518	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-519	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-520	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-522	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-523	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-526	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-528	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-529	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-532	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-537	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-539	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-540	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-541	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-542	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-543	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-544	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-545	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-546	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-547	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-551	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-552	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-553	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-554	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-555	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-557	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-560	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-562	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-565	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-566	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-568	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-570	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-572	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-573	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-574	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-575	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-578	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-579	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-580	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-583	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-584	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-586	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-588	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-589	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-591	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-592	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-594	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-595	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-599	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-600	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-601	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-603	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-606	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-607	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-611	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-613	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-615	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-618	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-619	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-621	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-622	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-627	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-631	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-634	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-635	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-640	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-641	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-642	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-643	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-644	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-647	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-650	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-652	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-653	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-654	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-655	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-656	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-657	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-659	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-663	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-664	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-665	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-666	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-667	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-668	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-670	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-672	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-673	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-676	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-677	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-680	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-681	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-683	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-684	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-685	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-686	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-687	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-688	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-691	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-693	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-694	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-695	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-698	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-699	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-702	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-706	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-709	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-710	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-712	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-715	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-716	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-717	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-718	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-719	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-722	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-723	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-728	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-730	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-732	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-734	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-736	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-740	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-744	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-749	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-751	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-753	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-754	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-755	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-758	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-761	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-763	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-765	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-767	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-769	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-770	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-771	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-775	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-776	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-777	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-778	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-780	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-781	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-782	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-783	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-785	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-786	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-787	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-789	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-791	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-793	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-794	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-796	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-801	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-805	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-809	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-812	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-816	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-819	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-820	Tumor	genome	originally published by Cui et al.(2020)
Li et al.	PMID32398863;BDESCC-01-821	Tumor	genome	originally published by Cui et al.(2020)
